ArtistId	Name	AlbumId	AlbumTitle
1	AC/DC	1	For Those About To Rock We Salute You
1	AC/DC	4	Let There Be Rock
2	Accept	2	Balls to the Wall
2	Accept	3	Restless and Wild
3	Aerosmith	5	Big Ones
4	Alanis Morissette	6	Jagged Little Pill
5	Alice In Chains	7	Facelift
6	Antônio Carlos Jobim	34	Chill: Brazil (Disc 2)
6	Antônio Carlos Jobim	8	Warner 25 Anos
7	Apocalyptica	9	Plays Metallica By Four Cellos
8	Audioslave	11	Out Of Exile
8	Audioslave	271	Revelations
8	Audioslave	10	Audioslave
9	BackBeat	12	BackBeat Soundtrack
10	Billy Cobham	13	The Best Of Billy Cobham
11	Black Label Society	14	Alcohol Fueled Brewtality Live! [Disc 1]
11	Black Label Society	15	Alcohol Fueled Brewtality Live! [Disc 2]
12	Black Sabbath	17	Black Sabbath Vol. 4 (Remaster)
12	Black Sabbath	16	Black Sabbath
13	Body Count	18	Body Count
14	Bruce Dickinson	19	Chemical Wedding
15	Buddy Guy	20	The Best Of Buddy Guy - The Millenium Collection
16	Caetano Veloso	21	Prenda Minha
16	Caetano Veloso	22	Sozinho Remix Ao Vivo
17	Chico Buarque	23	Minha Historia
18	Chico Science & Nação Zumbi	25	Da Lama Ao Caos
18	Chico Science & Nação Zumbi	24	Afrociberdelia
19	Cidade Negra	26	Acústico MTV [Live]
19	Cidade Negra	27	Cidade Negra - Hits
20	Cláudio Zoli	28	Na Pista
21	Various Artists	29	Axé Bahia 2001
21	Various Artists	32	Carnaval 2001
21	Various Artists	53	Vozes do MPB
21	Various Artists	45	Sambas De Enredo 2001
22	Led Zeppelin	127	BBC Sessions [Disc 2] [Live]
22	Led Zeppelin	130	In Through The Out Door
22	Led Zeppelin	133	Led Zeppelin II
22	Led Zeppelin	136	Presence
22	Led Zeppelin	128	Coda
22	Led Zeppelin	131	IV
22	Led Zeppelin	134	Led Zeppelin III
22	Led Zeppelin	137	The Song Remains The Same (Disc 1)
22	Led Zeppelin	44	Physical Graffiti [Disc 1]
22	Led Zeppelin	30	BBC Sessions [Disc 1] [Live]
22	Led Zeppelin	129	Houses Of The Holy
22	Led Zeppelin	132	Led Zeppelin I
22	Led Zeppelin	135	Physical Graffiti [Disc 2]
22	Led Zeppelin	138	The Song Remains The Same (Disc 2)
23	Frank Zappa & Captain Beefheart	31	Bongo Fury
24	Marcos Valle	33	Chill: Brazil (Disc 1)
27	Gilberto Gil	87	Quanta Gente Veio ver--Bônus De Carnaval
