AlbumId	Title	ArtistName
1	For Those About To Rock We Salute You	AC/DC
2	Balls to the Wall	Accept
3	Restless and Wild	Accept
4	Let There Be Rock	AC/DC
5	Big Ones	Aerosmith
6	Jagged Little Pill	Alanis Morissette
7	Facelift	Alice In Chains
8	Warner 25 Anos	Antônio Carlos Jobim
9	Plays Metallica By Four Cellos	Apocalyptica
10	Audioslave	Audioslave
11	Out Of Exile	Audioslave
12	BackBeat Soundtrack	BackBeat
13	The Best Of Billy Cobham	Billy Cobham
14	Alcohol Fueled Brewtality Live! [Disc 1]	Black Label Society
15	Alcohol Fueled Brewtality Live! [Disc 2]	Black Label Society
16	Black Sabbath	Black Sabbath
17	Black Sabbath Vol. 4 (Remaster)	Black Sabbath
18	Body Count	Body Count
19	Chemical Wedding	Bruce Dickinson
20	The Best Of Buddy Guy - The Millenium Collection	Buddy Guy
21	Prenda Minha	Caetano Veloso
22	Sozinho Remix Ao Vivo	Caetano Veloso
23	Minha Historia	Chico Buarque
24	Afrociberdelia	Chico Science & Nação Zumbi
25	Da Lama Ao Caos	Chico Science & Nação Zumbi
26	Acústico MTV [Live]	Cidade Negra
27	Cidade Negra - Hits	Cidade Negra
28	Na Pista	Cláudio Zoli
29	Axé Bahia 2001	Various Artists
30	BBC Sessions [Disc 1] [Live]	Led Zeppelin
31	Bongo Fury	Frank Zappa & Captain Beefheart
32	Carnaval 2001	Various Artists
33	Chill: Brazil (Disc 1)	Marcos Valle
34	Chill: Brazil (Disc 2)	Antônio Carlos Jobim
35	Garage Inc. (Disc 1)	Metallica
36	Greatest Hits II	Queen
37	Greatest Kiss	Kiss
38	Heart of the Night	Spyro Gyra
39	International Superhits	Green Day
40	Into The Light	David Coverdale
41	Meus Momentos	Gonzaguinha
42	Minha História	Os Mutantes
43	MK III The Final Concerts [Disc 1]	Deep Purple
44	Physical Graffiti [Disc 1]	Led Zeppelin
45	Sambas De Enredo 2001	Various Artists
46	Supernatural	Santana
47	The Best of Ed Motta	Ed Motta
48	The Essential Miles Davis [Disc 1]	Miles Davis
49	The Essential Miles Davis [Disc 2]	Miles Davis
50	The Final Concerts (Disc 2)	Deep Purple
51	Up An' Atom	Gene Krupa
52	Vinícius De Moraes - Sem Limite	Toquinho & Vinícius
53	Vozes do MPB	Various Artists
54	Chronicle, Vol. 1	Creedence Clearwater Revival
55	Chronicle, Vol. 2	Creedence Clearwater Revival
56	Cássia Eller - Coleção Sem Limite [Disc 2]	Cássia Eller
57	Cássia Eller - Sem Limite [Disc 1]	Cássia Eller
58	Come Taste The Band	Deep Purple
59	Deep Purple In Rock	Deep Purple
60	Fireball	Deep Purple
61	Knocking at Your Back Door: The Best Of Deep Purple in the 80's	Deep Purple
62	Machine Head	Deep Purple
63	Purpendicular	Deep Purple
64	Slaves And Masters	Deep Purple
65	Stormbringer	Deep Purple
66	The Battle Rages On	Deep Purple
67	Vault: Def Leppard's Greatest Hits	Def Leppard
68	Outbreak	Dennis Chambers
69	Djavan Ao Vivo - Vol. 02	Djavan
70	Djavan Ao Vivo - Vol. 1	Djavan
