PlaylistId	TrackId	PlaylistName	TrackName
1	1	Music	For Those About To Rock (We Salute You)
8	1	Music	For Those About To Rock (We Salute You)
17	1	Heavy Metal Classic	For Those About To Rock (We Salute You)
1	2	Music	Balls to the Wall
8	2	Music	Balls to the Wall
17	2	Heavy Metal Classic	Balls to the Wall
1	3	Music	Fast As a Shark
5	3	90’s Music	Fast As a Shark
8	3	Music	Fast As a Shark
17	3	Heavy Metal Classic	Fast As a Shark
1	4	Music	Restless and Wild
5	4	90’s Music	Restless and Wild
8	4	Music	Restless and Wild
17	4	Heavy Metal Classic	Restless and Wild
1	5	Music	Princess of the Dawn
5	5	90’s Music	Princess of the Dawn
8	5	Music	Princess of the Dawn
17	5	Heavy Metal Classic	Princess of the Dawn
1	6	Music	Put The Finger On You
8	6	Music	Put The Finger On You
1	7	Music	Let's Get It Up
8	7	Music	Let's Get It Up
1	8	Music	Inject The Venom
8	8	Music	Inject The Venom
1	9	Music	Snowballed
8	9	Music	Snowballed
1	10	Music	Evil Walks
8	10	Music	Evil Walks
1	11	Music	C.O.D.
8	11	Music	C.O.D.
1	12	Music	Breaking The Rules
8	12	Music	Breaking The Rules
1	13	Music	Night Of The Long Knives
8	13	Music	Night Of The Long Knives
1	14	Music	Spellbound
8	14	Music	Spellbound
1	15	Music	Go Down
8	15	Music	Go Down
1	16	Music	Dog Eat Dog
8	16	Music	Dog Eat Dog
1	17	Music	Let There Be Rock
8	17	Music	Let There Be Rock
1	18	Music	Bad Boy Boogie
8	18	Music	Bad Boy Boogie
1	19	Music	Problem Child
8	19	Music	Problem Child
1	20	Music	Overdose
8	20	Music	Overdose
1	21	Music	Hell Ain't A Bad Place To Be
8	21	Music	Hell Ain't A Bad Place To Be
1	22	Music	Whole Lotta Rosie
8	22	Music	Whole Lotta Rosie
1	23	Music	Walk On Water
5	23	90’s Music	Walk On Water
8	23	Music	Walk On Water
1	24	Music	Love In An Elevator
5	24	90’s Music	Love In An Elevator
8	24	Music	Love In An Elevator
1	25	Music	Rag Doll
5	25	90’s Music	Rag Doll
8	25	Music	Rag Doll
1	26	Music	What It Takes
5	26	90’s Music	What It Takes
8	26	Music	What It Takes
1	27	Music	Dude (Looks Like A Lady)
5	27	90’s Music	Dude (Looks Like A Lady)
8	27	Music	Dude (Looks Like A Lady)
1	28	Music	Janie's Got A Gun
5	28	90’s Music	Janie's Got A Gun
8	28	Music	Janie's Got A Gun
1	29	Music	Cryin'
5	29	90’s Music	Cryin'
8	29	Music	Cryin'
1	30	Music	Amazing
5	30	90’s Music	Amazing
8	30	Music	Amazing
1	31	Music	Blind Man
5	31	90’s Music	Blind Man
8	31	Music	Blind Man
1	32	Music	Deuces Are Wild
5	32	90’s Music	Deuces Are Wild
8	32	Music	Deuces Are Wild
1	33	Music	The Other Side
5	33	90’s Music	The Other Side
8	33	Music	The Other Side
1	34	Music	Crazy
5	34	90’s Music	Crazy
8	34	Music	Crazy
1	35	Music	Eat The Rich
5	35	90’s Music	Eat The Rich
8	35	Music	Eat The Rich
1	36	Music	Angel
5	36	90’s Music	Angel
8	36	Music	Angel
1	37	Music	Livin' On The Edge
5	37	90’s Music	Livin' On The Edge
8	37	Music	Livin' On The Edge
1	38	Music	All I Really Want
5	38	90’s Music	All I Really Want
8	38	Music	All I Really Want
1	39	Music	You Oughta Know
