trackId:ID,name,composer,milliseconds:int,bytes:int,unitPrice:float,:LABEL
track1,"For Those About To Rock (We Salute You)","Angus Young; Malcolm Young; Brian Johnson",343719,11170334,0.99,Track
track2,"Balls to the Wall",NULL,342562,5510424,0.99,Track
track3,"Fast As a Shark","F. Baltes; S. Kaufman; U. Dirkscneider & W. Hoffman",230619,3990994,0.99,Track
track4,"Restless and Wild","F. Baltes; R.A. Smith-Diesel; S. Kaufman; U. Dirkscneider & W. Hoffman",252051,4331779,0.99,Track
track5,"Princess of the Dawn","Deaffy & R.A. Smith-Diesel",375418,6290521,0.99,Track
track6,"Put The Finger On You","Angus Young; Malcolm Young; Brian Johnson",205662,6713451,0.99,Track
track7,"Let's Get It Up","Angus Young; Malcolm Young; Brian Johnson",233926,7636561,0.99,Track
track8,"Inject The Venom","Angus Young; Malcolm Young; Brian Johnson",210834,6852860,0.99,Track
track9,"Snowballed","Angus Young; Malcolm Young; Brian Johnson",203102,6599424,0.99,Track
track10,"Evil Walks","Angus Young; Malcolm Young; Brian Johnson",263497,8611245,0.99,Track
track11,"C.O.D.","Angus Young; Malcolm Young; Brian Johnson",199836,6566314,0.99,Track
track12,"Breaking The Rules","Angus Young; Malcolm Young; Brian Johnson",263288,8596840,0.99,Track
track13,"Night Of The Long Knives","Angus Young; Malcolm Young; Brian Johnson",205688,6706347,0.99,Track
track14,"Spellbound","Angus Young; Malcolm Young; Brian Johnson",270863,8817038,0.99,Track
track15,"Go Down","AC/DC",331180,10847611,0.99,Track
track16,"Dog Eat Dog","AC/DC",215196,7032162,0.99,Track
track17,"Let There Be Rock","AC/DC",366654,12021261,0.99,Track
track18,"Bad Boy Boogie","AC/DC",267728,8776140,0.99,Track
track19,"Problem Child","AC/DC",325041,10617116,0.99,Track
track20,"Overdose","AC/DC",369319,12066294,0.99,Track
track21,"Hell Ain't A Bad Place To Be","AC/DC",254380,8331286,0.99,Track
track22,"Whole Lotta Rosie","AC/DC",323761,10547154,0.99,Track
track23,"Walk On Water","Steven Tyler; Joe Perry; Jack Blades; Tommy Shaw",295680,9719579,0.99,Track
track24,"Love In An Elevator","Steven Tyler; Joe Perry",321828,10552051,0.99,Track
track25,"Rag Doll","Steven Tyler; Joe Perry; Jim Vallance; Holly Knight",264698,8675345,0.99,Track
track26,"What It Takes","Steven Tyler; Joe Perry; Desmond Child",310622,10144730,0.99,Track
track27,"Dude (Looks Like A Lady)","Steven Tyler; Joe Perry; Desmond Child",264855,8679940,0.99,Track
track28,"Janie's Got A Gun","Steven Tyler; Tom Hamilton",330736,10869391,0.99,Track
track29,"Cryin'","Steven Tyler; Joe Perry; Taylor Rhodes",309263,10056995,0.99,Track
track30,"Amazing","Steven Tyler; Richie Supa",356519,11616195,0.99,Track
track31,"Blind Man","Steven Tyler; Joe Perry; Taylor Rhodes",240718,7877453,0.99,Track
track32,"Deuces Are Wild","Steven Tyler; Jim Vallance",215875,7074167,0.99,Track
track33,"The Other Side","Steven Tyler; Jim Vallance",244375,7983270,0.99,Track
track34,"Crazy","Steven Tyler; Joe Perry; Desmond Child",316656,10402398,0.99,Track
track35,"Eat The Rich","Steven Tyler; Joe Perry; Jim Vallance",251036,8262039,0.99,Track
track36,"Angel","Steven Tyler; Desmond Child",307617,9989331,0.99,Track
track37,"Livin' On The Edge","Steven Tyler; Joe Perry; Mark Hudson",381231,12374569,0.99,Track
track38,"All I Really Want","Alanis Morissette & Glenn Ballard",284891,9375567,0.99,Track
track39,"You Oughta Know","Alanis Morissette & Glenn Ballard",249234,8196916,0.99,Track
track40,"Perfect","Alanis Morissette & Glenn Ballard",188133,6145404,0.99,Track
track41,"Hand In My Pocket","Alanis Morissette & Glenn Ballard",221570,7224246,0.99,Track
track42,"Right Through You","Alanis Morissette & Glenn Ballard",176117,5793082,0.99,Track
track43,"Forgiven","Alanis Morissette & Glenn Ballard",300355,9753256,0.99,Track
track44,"You Learn","Alanis Morissette & Glenn Ballard",239699,7824837,0.99,Track
track45,"Head Over Feet","Alanis Morissette & Glenn Ballard",267493,8758008,0.99,Track
track46,"Mary Jane","Alanis Morissette & Glenn Ballard",280607,9163588,0.99,Track
track47,"Ironic","Alanis Morissette & Glenn Ballard",229825,7598866,0.99,Track
track48,"Not The Doctor","Alanis Morissette & Glenn Ballard",227631,7604601,0.99,Track
track49,"Wake Up","Alanis Morissette & Glenn Ballard",293485,9703359,0.99,Track
track50,"You Oughta Know (Alternate)","Alanis Morissette & Glenn Ballard",491885,16008629,0.99,Track
track51,"We Die Young","Jerry Cantrell",152084,4925362,0.99,Track
track52,"Man In The Box","Jerry Cantrell; Layne Staley",286641,9310272,0.99,Track
track53,"Sea Of Sorrow","Jerry Cantrell",349831,11316328,0.99,Track
track54,"Bleed The Freak","Jerry Cantrell",241946,7847716,0.99,Track
track55,"I Can't Remember","Jerry Cantrell; Layne Staley",222955,7302550,0.99,Track
track56,"Love; Hate; Love","Jerry Cantrell; Layne Staley",387134,12575396,0.99,Track
track57,"It Ain't Like That","Jerry Cantrell; Michael Starr; Sean Kinney",277577,8993793,0.99,Track
track58,"Sunshine","Jerry Cantrell",284969,9216057,0.99,Track
track59,"Put You Down","Jerry Cantrell",196231,6420530,0.99,Track
