:START_ID,:END_ID,:TYPE
playlist1,track1,ADDED
playlist1,track2,ADDED
playlist1,track3,ADDED
playlist1,track4,ADDED
playlist1,track5,ADDED
playlist1,track6,ADDED
playlist1,track7,ADDED
playlist1,track8,ADDED
playlist1,track9,ADDED
playlist1,track10,ADDED
playlist1,track11,ADDED
playlist1,track12,ADDED
playlist1,track13,ADDED
playlist1,track14,ADDED
playlist1,track15,ADDED
playlist1,track16,ADDED
playlist1,track17,ADDED
playlist1,track18,ADDED
playlist1,track19,ADDED
playlist1,track20,ADDED
playlist1,track21,ADDED
playlist1,track22,ADDED
playlist1,track23,ADDED
playlist1,track24,ADDED
playlist1,track25,ADDED
playlist1,track26,ADDED
playlist1,track27,ADDED
playlist1,track28,ADDED
playlist1,track29,ADDED
playlist1,track30,ADDED
playlist1,track31,ADDED
playlist1,track32,ADDED
playlist1,track33,ADDED
playlist1,track34,ADDED
playlist1,track35,ADDED
playlist1,track36,ADDED
playlist1,track37,ADDED
playlist1,track38,ADDED
playlist1,track39,ADDED
playlist1,track40,ADDED
playlist1,track41,ADDED
playlist1,track42,ADDED
playlist1,track43,ADDED
playlist1,track44,ADDED
playlist1,track45,ADDED
playlist1,track46,ADDED
playlist1,track47,ADDED
playlist1,track48,ADDED
playlist1,track49,ADDED
playlist1,track50,ADDED
playlist1,track51,ADDED
playlist1,track52,ADDED
playlist1,track53,ADDED
playlist1,track54,ADDED
playlist1,track55,ADDED
playlist1,track56,ADDED
playlist1,track57,ADDED
playlist1,track58,ADDED
playlist1,track59,ADDED
playlist1,track60,ADDED
playlist1,track61,ADDED
playlist1,track62,ADDED
playlist1,track63,ADDED
playlist1,track64,ADDED
playlist1,track65,ADDED
playlist1,track66,ADDED
playlist1,track67,ADDED
playlist1,track68,ADDED
playlist1,track69,ADDED
playlist1,track70,ADDED
playlist1,track71,ADDED
playlist1,track72,ADDED
playlist1,track73,ADDED
playlist1,track74,ADDED
playlist1,track75,ADDED
playlist1,track76,ADDED
playlist1,track77,ADDED
playlist1,track78,ADDED
playlist1,track79,ADDED
playlist1,track80,ADDED
playlist1,track81,ADDED
playlist1,track82,ADDED
playlist1,track83,ADDED
playlist1,track84,ADDED
playlist1,track85,ADDED
playlist1,track86,ADDED
playlist1,track87,ADDED
playlist1,track88,ADDED
