:START_ID,:END_ID,:TYPE
genre1,track1,IS_GENRE_OF
genre1,track2,IS_GENRE_OF
genre1,track3,IS_GENRE_OF
genre1,track4,IS_GENRE_OF
genre1,track5,IS_GENRE_OF
genre1,track6,IS_GENRE_OF
genre1,track7,IS_GENRE_OF
genre1,track8,IS_GENRE_OF
genre1,track9,IS_GENRE_OF
genre1,track10,IS_GENRE_OF
genre1,track11,IS_GENRE_OF
genre1,track12,IS_GENRE_OF
genre1,track13,IS_GENRE_OF
genre1,track14,IS_GENRE_OF
genre1,track15,IS_GENRE_OF
genre1,track16,IS_GENRE_OF
genre1,track17,IS_GENRE_OF
genre1,track18,IS_GENRE_OF
genre1,track19,IS_GENRE_OF
genre1,track20,IS_GENRE_OF
genre1,track21,IS_GENRE_OF
genre1,track22,IS_GENRE_OF
genre1,track23,IS_GENRE_OF
genre1,track24,IS_GENRE_OF
genre1,track25,IS_GENRE_OF
genre1,track26,IS_GENRE_OF
genre1,track27,IS_GENRE_OF
genre1,track28,IS_GENRE_OF
genre1,track29,IS_GENRE_OF
genre1,track30,IS_GENRE_OF
genre1,track31,IS_GENRE_OF
genre1,track32,IS_GENRE_OF
genre1,track33,IS_GENRE_OF
genre1,track34,IS_GENRE_OF
genre1,track35,IS_GENRE_OF
genre1,track36,IS_GENRE_OF
genre1,track37,IS_GENRE_OF
genre1,track38,IS_GENRE_OF
genre1,track39,IS_GENRE_OF
genre1,track40,IS_GENRE_OF
genre1,track41,IS_GENRE_OF
genre1,track42,IS_GENRE_OF
genre1,track43,IS_GENRE_OF
genre1,track44,IS_GENRE_OF
genre1,track45,IS_GENRE_OF
genre1,track46,IS_GENRE_OF
genre1,track47,IS_GENRE_OF
genre1,track48,IS_GENRE_OF
genre1,track49,IS_GENRE_OF
genre1,track50,IS_GENRE_OF
genre1,track51,IS_GENRE_OF
genre1,track52,IS_GENRE_OF
genre1,track53,IS_GENRE_OF
genre1,track54,IS_GENRE_OF
genre1,track55,IS_GENRE_OF
genre1,track56,IS_GENRE_OF
genre1,track57,IS_GENRE_OF
genre1,track58,IS_GENRE_OF
genre1,track59,IS_GENRE_OF
genre1,track60,IS_GENRE_OF
genre1,track61,IS_GENRE_OF
genre1,track62,IS_GENRE_OF
genre1,track85,IS_GENRE_OF
genre1,track86,IS_GENRE_OF
genre1,track87,IS_GENRE_OF
genre1,track88,IS_GENRE_OF
genre1,track89,IS_GENRE_OF
genre1,track90,IS_GENRE_OF
genre1,track91,IS_GENRE_OF
genre1,track92,IS_GENRE_OF
genre1,track93,IS_GENRE_OF
genre1,track94,IS_GENRE_OF
genre1,track95,IS_GENRE_OF
genre1,track96,IS_GENRE_OF
genre1,track97,IS_GENRE_OF
genre1,track98,IS_GENRE_OF
genre1,track337,IS_GENRE_OF
genre1,track338,IS_GENRE_OF
genre1,track339,IS_GENRE_OF
genre1,track340,IS_GENRE_OF
genre1,track341,IS_GENRE_OF
genre1,track342,IS_GENRE_OF
genre1,track343,IS_GENRE_OF
genre1,track344,IS_GENRE_OF
genre1,track345,IS_GENRE_OF
genre1,track346,IS_GENRE_OF
genre1,track347,IS_GENRE_OF
genre1,track348,IS_GENRE_OF
genre1,track349,IS_GENRE_OF
genre1,track350,IS_GENRE_OF
genre1,track351,IS_GENRE_OF
genre1,track352,IS_GENRE_OF
genre1,track353,IS_GENRE_OF
genre1,track354,IS_GENRE_OF
genre1,track355,IS_GENRE_OF
genre1,track356,IS_GENRE_OF
genre1,track357,IS_GENRE_OF
genre1,track358,IS_GENRE_OF
genre1,track359,IS_GENRE_OF
genre1,track419,IS_GENRE_OF
genre1,track420,IS_GENRE_OF
genre1,track421,IS_GENRE_OF
genre1,track422,IS_GENRE_OF
genre1,track423,IS_GENRE_OF
genre1,track424,IS_GENRE_OF
genre1,track425,IS_GENRE_OF
genre1,track426,IS_GENRE_OF
genre1,track427,IS_GENRE_OF
genre1,track428,IS_GENRE_OF
genre1,track429,IS_GENRE_OF
genre1,track430,IS_GENRE_OF
genre1,track431,IS_GENRE_OF
genre1,track432,IS_GENRE_OF
genre1,track433,IS_GENRE_OF
genre1,track434,IS_GENRE_OF
genre1,track435,IS_GENRE_OF
genre1,track436,IS_GENRE_OF
genre1,track437,IS_GENRE_OF
genre1,track438,IS_GENRE_OF
genre1,track439,IS_GENRE_OF
genre1,track440,IS_GENRE_OF
genre1,track441,IS_GENRE_OF
genre1,track442,IS_GENRE_OF
genre1,track443,IS_GENRE_OF
genre1,track444,IS_GENRE_OF
genre1,track445,IS_GENRE_OF
genre1,track446,IS_GENRE_OF
genre1,track447,IS_GENRE_OF
genre1,track448,IS_GENRE_OF
genre1,track449,IS_GENRE_OF
genre1,track450,IS_GENRE_OF
genre1,track451,IS_GENRE_OF
genre1,track452,IS_GENRE_OF
genre1,track453,IS_GENRE_OF
genre1,track454,IS_GENRE_OF
genre1,track455,IS_GENRE_OF
genre1,track489,IS_GENRE_OF
genre1,track490,IS_GENRE_OF
genre1,track491,IS_GENRE_OF
genre1,track492,IS_GENRE_OF
genre1,track493,IS_GENRE_OF
genre1,track494,IS_GENRE_OF
genre1,track495,IS_GENRE_OF
genre1,track496,IS_GENRE_OF
genre1,track497,IS_GENRE_OF
genre1,track498,IS_GENRE_OF
genre1,track499,IS_GENRE_OF
genre1,track500,IS_GENRE_OF
genre1,track543,IS_GENRE_OF
genre1,track544,IS_GENRE_OF
genre1,track545,IS_GENRE_OF
genre1,track546,IS_GENRE_OF
genre1,track547,IS_GENRE_OF
genre1,track548,IS_GENRE_OF
genre1,track549,IS_GENRE_OF
genre1,track550,IS_GENRE_OF
genre1,track551,IS_GENRE_OF
genre1,track552,IS_GENRE_OF
genre1,track553,IS_GENRE_OF
genre1,track554,IS_GENRE_OF
genre1,track555,IS_GENRE_OF
genre1,track570,IS_GENRE_OF
genre1,track571,IS_GENRE_OF
genre1,track572,IS_GENRE_OF
genre1,track573,IS_GENRE_OF
genre1,track574,IS_GENRE_OF
genre1,track575,IS_GENRE_OF
genre1,track576,IS_GENRE_OF
genre1,track577,IS_GENRE_OF
genre1,track578,IS_GENRE_OF
genre1,track579,IS_GENRE_OF
genre1,track580,IS_GENRE_OF
genre1,track581,IS_GENRE_OF
genre1,track582,IS_GENRE_OF
genre1,track620,IS_GENRE_OF
genre1,track621,IS_GENRE_OF
genre1,track622,IS_GENRE_OF
genre1,track623,IS_GENRE_OF
genre1,track675,IS_GENRE_OF
genre1,track676,IS_GENRE_OF
genre1,track677,IS_GENRE_OF
genre1,track678,IS_GENRE_OF
genre1,track679,IS_GENRE_OF
genre1,track680,IS_GENRE_OF
genre1,track681,IS_GENRE_OF
genre1,track682,IS_GENRE_OF
genre1,track683,IS_GENRE_OF
genre1,track684,IS_GENRE_OF
genre1,track685,IS_GENRE_OF
genre1,track686,IS_GENRE_OF
genre1,track687,IS_GENRE_OF
genre1,track688,IS_GENRE_OF
genre1,track689,IS_GENRE_OF
genre1,track690,IS_GENRE_OF
genre1,track691,IS_GENRE_OF
genre1,track692,IS_GENRE_OF
genre1,track693,IS_GENRE_OF
genre1,track694,IS_GENRE_OF
genre1,track695,IS_GENRE_OF
genre1,track696,IS_GENRE_OF
genre1,track697,IS_GENRE_OF
genre1,track698,IS_GENRE_OF
genre1,track699,IS_GENRE_OF
genre1,track700,IS_GENRE_OF
genre1,track701,IS_GENRE_OF
genre1,track702,IS_GENRE_OF
genre1,track703,IS_GENRE_OF
genre1,track704,IS_GENRE_OF
genre1,track705,IS_GENRE_OF
genre1,track706,IS_GENRE_OF
genre1,track707,IS_GENRE_OF
genre1,track708,IS_GENRE_OF
genre1,track709,IS_GENRE_OF
genre1,track710,IS_GENRE_OF
genre1,track711,IS_GENRE_OF
genre1,track712,IS_GENRE_OF
genre1,track713,IS_GENRE_OF
genre1,track714,IS_GENRE_OF
genre1,track745,IS_GENRE_OF
genre1,track746,IS_GENRE_OF
genre1,track747,IS_GENRE_OF
genre1,track748,IS_GENRE_OF
genre1,track749,IS_GENRE_OF
genre1,track750,IS_GENRE_OF
genre1,track751,IS_GENRE_OF
genre1,track752,IS_GENRE_OF
genre1,track753,IS_GENRE_OF
genre1,track754,IS_GENRE_OF
genre1,track755,IS_GENRE_OF
genre1,track756,IS_GENRE_OF
genre1,track757,IS_GENRE_OF
genre1,track758,IS_GENRE_OF
genre1,track759,IS_GENRE_OF
genre1,track760,IS_GENRE_OF
genre1,track761,IS_GENRE_OF
genre1,track762,IS_GENRE_OF
genre1,track763,IS_GENRE_OF
genre1,track764,IS_GENRE_OF
genre1,track765,IS_GENRE_OF
genre1,track766,IS_GENRE_OF
genre1,track767,IS_GENRE_OF
genre1,track768,IS_GENRE_OF
genre1,track769,IS_GENRE_OF
genre1,track770,IS_GENRE_OF
genre1,track771,IS_GENRE_OF
genre1,track772,IS_GENRE_OF
genre1,track773,IS_GENRE_OF
genre1,track774,IS_GENRE_OF
genre1,track775,IS_GENRE_OF
genre1,track776,IS_GENRE_OF
genre1,track777,IS_GENRE_OF
genre1,track778,IS_GENRE_OF
genre1,track779,IS_GENRE_OF
genre1,track780,IS_GENRE_OF
genre1,track781,IS_GENRE_OF
genre1,track782,IS_GENRE_OF
genre1,track783,IS_GENRE_OF
genre1,track784,IS_GENRE_OF
genre1,track785,IS_GENRE_OF
genre1,track786,IS_GENRE_OF
genre1,track787,IS_GENRE_OF
genre1,track788,IS_GENRE_OF
genre1,track789,IS_GENRE_OF
genre1,track790,IS_GENRE_OF
genre1,track791,IS_GENRE_OF
genre1,track792,IS_GENRE_OF
genre1,track793,IS_GENRE_OF
genre1,track794,IS_GENRE_OF
genre1,track795,IS_GENRE_OF
genre1,track796,IS_GENRE_OF
