:START_ID,:END_ID,:TYPE
mediatype1,track1,IS_MEDIATYPE_OF
mediatype1,track6,IS_MEDIATYPE_OF
mediatype1,track7,IS_MEDIATYPE_OF
mediatype1,track8,IS_MEDIATYPE_OF
mediatype1,track9,IS_MEDIATYPE_OF
mediatype1,track10,IS_MEDIATYPE_OF
mediatype1,track11,IS_MEDIATYPE_OF
mediatype1,track12,IS_MEDIATYPE_OF
mediatype1,track13,IS_MEDIATYPE_OF
mediatype1,track14,IS_MEDIATYPE_OF
mediatype1,track15,IS_MEDIATYPE_OF
mediatype1,track16,IS_MEDIATYPE_OF
mediatype1,track17,IS_MEDIATYPE_OF
mediatype1,track18,IS_MEDIATYPE_OF
mediatype1,track19,IS_MEDIATYPE_OF
mediatype1,track20,IS_MEDIATYPE_OF
mediatype1,track21,IS_MEDIATYPE_OF
mediatype1,track22,IS_MEDIATYPE_OF
mediatype1,track23,IS_MEDIATYPE_OF
mediatype1,track24,IS_MEDIATYPE_OF
mediatype1,track25,IS_MEDIATYPE_OF
mediatype1,track26,IS_MEDIATYPE_OF
mediatype1,track27,IS_MEDIATYPE_OF
mediatype1,track28,IS_MEDIATYPE_OF
mediatype1,track29,IS_MEDIATYPE_OF
mediatype1,track30,IS_MEDIATYPE_OF
mediatype1,track31,IS_MEDIATYPE_OF
mediatype1,track32,IS_MEDIATYPE_OF
mediatype1,track33,IS_MEDIATYPE_OF
mediatype1,track34,IS_MEDIATYPE_OF
mediatype1,track35,IS_MEDIATYPE_OF
mediatype1,track36,IS_MEDIATYPE_OF
mediatype1,track37,IS_MEDIATYPE_OF
mediatype1,track38,IS_MEDIATYPE_OF
mediatype1,track39,IS_MEDIATYPE_OF
mediatype1,track40,IS_MEDIATYPE_OF
mediatype1,track41,IS_MEDIATYPE_OF
mediatype1,track42,IS_MEDIATYPE_OF
mediatype1,track43,IS_MEDIATYPE_OF
mediatype1,track44,IS_MEDIATYPE_OF
mediatype1,track45,IS_MEDIATYPE_OF
mediatype1,track46,IS_MEDIATYPE_OF
mediatype1,track47,IS_MEDIATYPE_OF
mediatype1,track48,IS_MEDIATYPE_OF
mediatype1,track49,IS_MEDIATYPE_OF
mediatype1,track50,IS_MEDIATYPE_OF
mediatype1,track51,IS_MEDIATYPE_OF
mediatype1,track52,IS_MEDIATYPE_OF
mediatype1,track53,IS_MEDIATYPE_OF
mediatype1,track54,IS_MEDIATYPE_OF
mediatype1,track55,IS_MEDIATYPE_OF
mediatype1,track56,IS_MEDIATYPE_OF
mediatype1,track57,IS_MEDIATYPE_OF
mediatype1,track58,IS_MEDIATYPE_OF
mediatype1,track59,IS_MEDIATYPE_OF
mediatype1,track60,IS_MEDIATYPE_OF
mediatype1,track61,IS_MEDIATYPE_OF
mediatype1,track62,IS_MEDIATYPE_OF
mediatype1,track63,IS_MEDIATYPE_OF
mediatype1,track64,IS_MEDIATYPE_OF
mediatype1,track65,IS_MEDIATYPE_OF
mediatype1,track66,IS_MEDIATYPE_OF
mediatype1,track67,IS_MEDIATYPE_OF
mediatype1,track68,IS_MEDIATYPE_OF
mediatype1,track69,IS_MEDIATYPE_OF
mediatype1,track70,IS_MEDIATYPE_OF
mediatype1,track71,IS_MEDIATYPE_OF
mediatype1,track72,IS_MEDIATYPE_OF
mediatype1,track73,IS_MEDIATYPE_OF
mediatype1,track74,IS_MEDIATYPE_OF
mediatype1,track75,IS_MEDIATYPE_OF
mediatype1,track76,IS_MEDIATYPE_OF
mediatype1,track77,IS_MEDIATYPE_OF
mediatype1,track78,IS_MEDIATYPE_OF
mediatype1,track79,IS_MEDIATYPE_OF
mediatype1,track80,IS_MEDIATYPE_OF
mediatype1,track81,IS_MEDIATYPE_OF
mediatype1,track82,IS_MEDIATYPE_OF
mediatype1,track83,IS_MEDIATYPE_OF
mediatype1,track84,IS_MEDIATYPE_OF
mediatype1,track85,IS_MEDIATYPE_OF
mediatype1,track86,IS_MEDIATYPE_OF
mediatype1,track87,IS_MEDIATYPE_OF
mediatype1,track88,IS_MEDIATYPE_OF
mediatype1,track89,IS_MEDIATYPE_OF
mediatype1,track90,IS_MEDIATYPE_OF
mediatype1,track91,IS_MEDIATYPE_OF
mediatype1,track92,IS_MEDIATYPE_OF
mediatype1,track93,IS_MEDIATYPE_OF
mediatype1,track94,IS_MEDIATYPE_OF
mediatype1,track95,IS_MEDIATYPE_OF
mediatype1,track96,IS_MEDIATYPE_OF
mediatype1,track97,IS_MEDIATYPE_OF
mediatype1,track98,IS_MEDIATYPE_OF
mediatype1,track99,IS_MEDIATYPE_OF
mediatype1,track100,IS_MEDIATYPE_OF
mediatype1,track101,IS_MEDIATYPE_OF
mediatype1,track102,IS_MEDIATYPE_OF
mediatype1,track103,IS_MEDIATYPE_OF
mediatype1,track104,IS_MEDIATYPE_OF
mediatype1,track105,IS_MEDIATYPE_OF
mediatype1,track106,IS_MEDIATYPE_OF
mediatype1,track107,IS_MEDIATYPE_OF
mediatype1,track108,IS_MEDIATYPE_OF
mediatype1,track109,IS_MEDIATYPE_OF
mediatype1,track110,IS_MEDIATYPE_OF
mediatype1,track111,IS_MEDIATYPE_OF
mediatype1,track112,IS_MEDIATYPE_OF
mediatype1,track113,IS_MEDIATYPE_OF
mediatype1,track114,IS_MEDIATYPE_OF
mediatype1,track115,IS_MEDIATYPE_OF
mediatype1,track116,IS_MEDIATYPE_OF
mediatype1,track117,IS_MEDIATYPE_OF
mediatype1,track118,IS_MEDIATYPE_OF
mediatype1,track119,IS_MEDIATYPE_OF
mediatype1,track120,IS_MEDIATYPE_OF
mediatype1,track121,IS_MEDIATYPE_OF
mediatype1,track122,IS_MEDIATYPE_OF
mediatype1,track123,IS_MEDIATYPE_OF
mediatype1,track124,IS_MEDIATYPE_OF
mediatype1,track125,IS_MEDIATYPE_OF
mediatype1,track126,IS_MEDIATYPE_OF
mediatype1,track127,IS_MEDIATYPE_OF
mediatype1,track128,IS_MEDIATYPE_OF
mediatype1,track129,IS_MEDIATYPE_OF
mediatype1,track130,IS_MEDIATYPE_OF
mediatype1,track131,IS_MEDIATYPE_OF
mediatype1,track132,IS_MEDIATYPE_OF
mediatype1,track133,IS_MEDIATYPE_OF
mediatype1,track134,IS_MEDIATYPE_OF
mediatype1,track135,IS_MEDIATYPE_OF
mediatype1,track136,IS_MEDIATYPE_OF
mediatype1,track137,IS_MEDIATYPE_OF
mediatype1,track138,IS_MEDIATYPE_OF
mediatype1,track139,IS_MEDIATYPE_OF
mediatype1,track140,IS_MEDIATYPE_OF
mediatype1,track141,IS_MEDIATYPE_OF
mediatype1,track142,IS_MEDIATYPE_OF
mediatype1,track143,IS_MEDIATYPE_OF
mediatype1,track144,IS_MEDIATYPE_OF
mediatype1,track145,IS_MEDIATYPE_OF
mediatype1,track146,IS_MEDIATYPE_OF
mediatype1,track147,IS_MEDIATYPE_OF
mediatype1,track148,IS_MEDIATYPE_OF
mediatype1,track149,IS_MEDIATYPE_OF
mediatype1,track150,IS_MEDIATYPE_OF
mediatype1,track151,IS_MEDIATYPE_OF
mediatype1,track152,IS_MEDIATYPE_OF
mediatype1,track153,IS_MEDIATYPE_OF
mediatype1,track154,IS_MEDIATYPE_OF
mediatype1,track155,IS_MEDIATYPE_OF
mediatype1,track156,IS_MEDIATYPE_OF
mediatype1,track157,IS_MEDIATYPE_OF
mediatype1,track158,IS_MEDIATYPE_OF
mediatype1,track159,IS_MEDIATYPE_OF
mediatype1,track160,IS_MEDIATYPE_OF
mediatype1,track161,IS_MEDIATYPE_OF
mediatype1,track162,IS_MEDIATYPE_OF
mediatype1,track163,IS_MEDIATYPE_OF
mediatype1,track164,IS_MEDIATYPE_OF
mediatype1,track165,IS_MEDIATYPE_OF
mediatype1,track166,IS_MEDIATYPE_OF
mediatype1,track167,IS_MEDIATYPE_OF
mediatype1,track168,IS_MEDIATYPE_OF
mediatype1,track169,IS_MEDIATYPE_OF
mediatype1,track170,IS_MEDIATYPE_OF
mediatype1,track171,IS_MEDIATYPE_OF
mediatype1,track172,IS_MEDIATYPE_OF
mediatype1,track173,IS_MEDIATYPE_OF
mediatype1,track174,IS_MEDIATYPE_OF
mediatype1,track175,IS_MEDIATYPE_OF
mediatype1,track176,IS_MEDIATYPE_OF
mediatype1,track177,IS_MEDIATYPE_OF
mediatype1,track178,IS_MEDIATYPE_OF
mediatype1,track179,IS_MEDIATYPE_OF
mediatype1,track180,IS_MEDIATYPE_OF
mediatype1,track181,IS_MEDIATYPE_OF
mediatype1,track182,IS_MEDIATYPE_OF
mediatype1,track183,IS_MEDIATYPE_OF
mediatype1,track184,IS_MEDIATYPE_OF
mediatype1,track185,IS_MEDIATYPE_OF
mediatype1,track186,IS_MEDIATYPE_OF
mediatype1,track187,IS_MEDIATYPE_OF
mediatype1,track188,IS_MEDIATYPE_OF
mediatype1,track189,IS_MEDIATYPE_OF
mediatype1,track190,IS_MEDIATYPE_OF
mediatype1,track191,IS_MEDIATYPE_OF
mediatype1,track192,IS_MEDIATYPE_OF
mediatype1,track193,IS_MEDIATYPE_OF
mediatype1,track194,IS_MEDIATYPE_OF
mediatype1,track195,IS_MEDIATYPE_OF
mediatype1,track196,IS_MEDIATYPE_OF
mediatype1,track197,IS_MEDIATYPE_OF
mediatype1,track198,IS_MEDIATYPE_OF
mediatype1,track199,IS_MEDIATYPE_OF
mediatype1,track200,IS_MEDIATYPE_OF
mediatype1,track201,IS_MEDIATYPE_OF
mediatype1,track202,IS_MEDIATYPE_OF
mediatype1,track203,IS_MEDIATYPE_OF
mediatype1,track204,IS_MEDIATYPE_OF
mediatype1,track205,IS_MEDIATYPE_OF
mediatype1,track206,IS_MEDIATYPE_OF
mediatype1,track207,IS_MEDIATYPE_OF
