:START_ID,:END_ID,:TYPE
artist1,album1,PERFORMED_ON
artist1,album4,PERFORMED_ON
artist2,album2,PERFORMED_ON
artist2,album3,PERFORMED_ON
artist3,album5,PERFORMED_ON
artist4,album6,PERFORMED_ON
artist5,album7,PERFORMED_ON
artist6,album8,PERFORMED_ON
artist6,album34,PERFORMED_ON
artist7,album9,PERFORMED_ON
artist8,album10,PERFORMED_ON
artist8,album11,PERFORMED_ON
artist8,album271,PERFORMED_ON
artist9,album12,PERFORMED_ON
artist10,album13,PERFORMED_ON
artist11,album14,PERFORMED_ON
artist11,album15,PERFORMED_ON
artist12,album16,PERFORMED_ON
artist12,album17,PERFORMED_ON
artist13,album18,PERFORMED_ON
artist14,album19,PERFORMED_ON
artist15,album20,PERFORMED_ON
artist16,album21,PERFORMED_ON
artist16,album22,PERFORMED_ON
artist17,album23,PERFORMED_ON
artist18,album24,PERFORMED_ON
artist18,album25,PERFORMED_ON
artist19,album26,PERFORMED_ON
artist19,album27,PERFORMED_ON
artist20,album28,PERFORMED_ON
artist21,album29,PERFORMED_ON
artist21,album32,PERFORMED_ON
artist21,album45,PERFORMED_ON
artist21,album53,PERFORMED_ON
artist22,album30,PERFORMED_ON
artist22,album44,PERFORMED_ON
artist22,album127,PERFORMED_ON
artist22,album128,PERFORMED_ON
artist22,album129,PERFORMED_ON
artist22,album130,PERFORMED_ON
artist22,album131,PERFORMED_ON
artist22,album132,PERFORMED_ON
artist22,album133,PERFORMED_ON
artist22,album134,PERFORMED_ON
artist22,album135,PERFORMED_ON
artist22,album136,PERFORMED_ON
artist22,album137,PERFORMED_ON
artist22,album138,PERFORMED_ON
artist23,album31,PERFORMED_ON
artist24,album33,PERFORMED_ON
artist27,album85,PERFORMED_ON
artist27,album86,PERFORMED_ON
artist27,album87,PERFORMED_ON
artist36,album259,PERFORMED_ON
artist37,album47,PERFORMED_ON
artist41,album71,PERFORMED_ON
artist42,album158,PERFORMED_ON
artist42,album159,PERFORMED_ON
artist46,album122,PERFORMED_ON
artist50,album35,PERFORMED_ON
artist50,album148,PERFORMED_ON
artist50,album149,PERFORMED_ON
artist50,album150,PERFORMED_ON
artist50,album151,PERFORMED_ON
artist50,album152,PERFORMED_ON
artist50,album153,PERFORMED_ON
artist50,album154,PERFORMED_ON
artist50,album155,PERFORMED_ON
artist50,album156,PERFORMED_ON
artist51,album36,PERFORMED_ON
artist51,album185,PERFORMED_ON
artist51,album186,PERFORMED_ON
artist52,album37,PERFORMED_ON
artist52,album126,PERFORMED_ON
artist53,album38,PERFORMED_ON
artist53,album204,PERFORMED_ON
artist54,album39,PERFORMED_ON
artist54,album89,PERFORMED_ON
artist55,album40,PERFORMED_ON
artist56,album41,PERFORMED_ON
artist57,album42,PERFORMED_ON
artist58,album43,PERFORMED_ON
artist58,album50,PERFORMED_ON
artist58,album58,PERFORMED_ON
artist58,album59,PERFORMED_ON
artist58,album60,PERFORMED_ON
artist58,album61,PERFORMED_ON
artist58,album62,PERFORMED_ON
artist58,album63,PERFORMED_ON
artist58,album64,PERFORMED_ON
artist58,album65,PERFORMED_ON
artist58,album66,PERFORMED_ON
artist59,album46,PERFORMED_ON
artist59,album197,PERFORMED_ON
artist59,album198,PERFORMED_ON
artist68,album48,PERFORMED_ON
artist68,album49,PERFORMED_ON
artist68,album157,PERFORMED_ON
artist69,album51,PERFORMED_ON
artist70,album52,PERFORMED_ON
artist72,album247,PERFORMED_ON
artist76,album54,PERFORMED_ON
artist76,album55,PERFORMED_ON
artist77,album56,PERFORMED_ON
artist77,album57,PERFORMED_ON
artist78,album67,PERFORMED_ON
artist79,album68,PERFORMED_ON
artist80,album69,PERFORMED_ON
artist80,album70,PERFORMED_ON
artist81,album72,PERFORMED_ON
artist81,album73,PERFORMED_ON
artist82,album74,PERFORMED_ON
artist82,album75,PERFORMED_ON
artist82,album76,PERFORMED_ON
artist82,album77,PERFORMED_ON
artist83,album78,PERFORMED_ON
artist84,album79,PERFORMED_ON
artist84,album80,PERFORMED_ON
artist84,album81,PERFORMED_ON
artist84,album82,PERFORMED_ON
artist85,album83,PERFORMED_ON
artist86,album84,PERFORMED_ON
artist87,album88,PERFORMED_ON
artist88,album90,PERFORMED_ON
artist88,album91,PERFORMED_ON
artist88,album92,PERFORMED_ON
artist89,album93,PERFORMED_ON
artist90,album94,PERFORMED_ON
artist90,album95,PERFORMED_ON
artist90,album96,PERFORMED_ON
artist90,album97,PERFORMED_ON
artist90,album98,PERFORMED_ON
artist90,album99,PERFORMED_ON
artist90,album100,PERFORMED_ON
artist90,album101,PERFORMED_ON
artist90,album102,PERFORMED_ON
artist90,album103,PERFORMED_ON
artist90,album104,PERFORMED_ON
artist90,album105,PERFORMED_ON
artist90,album106,PERFORMED_ON
artist90,album107,PERFORMED_ON
artist90,album108,PERFORMED_ON
artist90,album109,PERFORMED_ON
artist90,album110,PERFORMED_ON
artist90,album111,PERFORMED_ON
artist90,album112,PERFORMED_ON
artist90,album113,PERFORMED_ON
artist90,album114,PERFORMED_ON
artist91,album115,PERFORMED_ON
artist92,album116,PERFORMED_ON
artist92,album117,PERFORMED_ON
artist92,album118,PERFORMED_ON
artist93,album119,PERFORMED_ON
artist94,album120,PERFORMED_ON
artist95,album121,PERFORMED_ON
artist96,album123,PERFORMED_ON
artist97,album124,PERFORMED_ON
artist98,album125,PERFORMED_ON
artist99,album139,PERFORMED_ON
artist99,album140,PERFORMED_ON
artist100,album141,PERFORMED_ON
artist101,album142,PERFORMED_ON
artist101,album143,PERFORMED_ON
