:START_ID,:END_ID,:TYPE
employee3,customer1,SUPPORTED
employee3,customer3,SUPPORTED
employee3,customer12,SUPPORTED
employee3,customer15,SUPPORTED
employee3,customer18,SUPPORTED
employee3,customer19,SUPPORTED
employee3,customer24,SUPPORTED
employee3,customer29,SUPPORTED
employee3,customer30,SUPPORTED
employee3,customer33,SUPPORTED
employee3,customer37,SUPPORTED
employee3,customer38,SUPPORTED
employee3,customer42,SUPPORTED
employee3,customer43,SUPPORTED
employee3,customer44,SUPPORTED
employee3,customer45,SUPPORTED
employee3,customer46,SUPPORTED
employee3,customer52,SUPPORTED
employee3,customer53,SUPPORTED
employee3,customer58,SUPPORTED
employee3,customer59,SUPPORTED
employee4,customer4,SUPPORTED
employee4,customer5,SUPPORTED
employee4,customer8,SUPPORTED
employee4,customer9,SUPPORTED
employee4,customer10,SUPPORTED
employee4,customer13,SUPPORTED
employee4,customer16,SUPPORTED
employee4,customer20,SUPPORTED
employee4,customer22,SUPPORTED
employee4,customer23,SUPPORTED
employee4,customer26,SUPPORTED
employee4,customer27,SUPPORTED
employee4,customer32,SUPPORTED
employee4,customer34,SUPPORTED
employee4,customer35,SUPPORTED
employee4,customer39,SUPPORTED
employee4,customer40,SUPPORTED
employee4,customer49,SUPPORTED
employee4,customer55,SUPPORTED
employee4,customer56,SUPPORTED
employee5,customer2,SUPPORTED
employee5,customer6,SUPPORTED
employee5,customer7,SUPPORTED
employee5,customer11,SUPPORTED
employee5,customer14,SUPPORTED
employee5,customer17,SUPPORTED
employee5,customer21,SUPPORTED
employee5,customer25,SUPPORTED
employee5,customer28,SUPPORTED
employee5,customer31,SUPPORTED
employee5,customer36,SUPPORTED
employee5,customer41,SUPPORTED
employee5,customer47,SUPPORTED
employee5,customer48,SUPPORTED
employee5,customer50,SUPPORTED
employee5,customer51,SUPPORTED
employee5,customer54,SUPPORTED
employee5,customer57,SUPPORTED
